Algorithm: BRKGA_CS
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.003	0.034
1	instance_160_2_1.0.txt	3.97667	60.565	60.564
1	instance_10_4_1.0.txt	1.03200	60.010	0.008
1	instance_20_4_1.0.txt	1.14533	60.038	3.465
1	instance_40_2_1.0.txt	1.82733	60.034	43.040
1	instance_80_4_1.0.txt	1.53400	60.108	53.602
1	instance_20_8_1.0.txt	1.14533	60.017	0.005
1	instance_40_8_1.0.txt	1.12533	60.038	17.545
1	instance_10_8_1.0.txt	1.03200	60.017	0.003
1	instance_80_2_1.0.txt	2.47200	60.106	51.946
1	instance_80_8_1.0.txt	1.24933	60.116	54.088
1	instance_160_8_1.0.txt	1.73667	60.401	60.234
1	instance_20_2_1.0.txt	1.49267	60.018	0.695
1	instance_40_4_1.0.txt	1.22600	60.041	46.860
1	instance_160_4_1.0.txt	2.44667	60.397	49.098

2	instance_10_2_1.0.txt	1.12400	60.004	0.074
2	instance_160_2_1.0.txt	3.96467	60.324	48.987
2	instance_10_4_1.0.txt	1.03200	60.021	0.001
2	instance_20_4_1.0.txt	1.14533	60.020	0.881
2	instance_40_2_1.0.txt	1.78467	60.038	53.234
2	instance_80_4_1.0.txt	1.68733	60.089	55.221
2	instance_20_8_1.0.txt	1.14533	60.029	0.071
2	instance_40_8_1.0.txt	1.12533	60.039	0.262
2	instance_10_8_1.0.txt	1.03200	60.017	0.000
2	instance_80_2_1.0.txt	2.59533	60.080	55.411
2	instance_80_8_1.0.txt	1.27000	60.192	49.080
2	instance_160_8_1.0.txt	1.78000	60.309	53.675
2	instance_20_2_1.0.txt	1.49267	60.025	6.148
2	instance_40_4_1.0.txt	1.21467	60.060	38.135
2	instance_160_4_1.0.txt	2.61333	60.346	60.345

3	instance_10_2_1.0.txt	1.12400	60.006	0.072
3	instance_160_2_1.0.txt	4.15400	60.284	59.581
3	instance_10_4_1.0.txt	1.03200	60.007	0.080
3	instance_20_4_1.0.txt	1.14533	60.024	0.077
3	instance_40_2_1.0.txt	1.79933	60.025	4.900
3	instance_80_4_1.0.txt	1.57333	60.142	56.116
3	instance_20_8_1.0.txt	1.14533	60.047	0.009
3	instance_40_8_1.0.txt	1.12533	60.050	11.647
3	instance_10_8_1.0.txt	1.03200	60.007	0.000
3	instance_80_2_1.0.txt	2.75733	60.113	59.395
3	instance_80_8_1.0.txt	1.25133	60.131	42.675
3	instance_160_8_1.0.txt	1.85933	60.286	39.134
3	instance_20_2_1.0.txt	1.49267	60.016	2.358
3	instance_40_4_1.0.txt	1.29933	60.028	23.026
3	instance_160_4_1.0.txt	2.38533	60.304	26.813

4	instance_10_2_1.0.txt	1.12400	60.008	0.050
4	instance_160_2_1.0.txt	4.00733	60.458	59.476
4	instance_10_4_1.0.txt	1.03200	60.019	0.005
4	instance_20_4_1.0.txt	1.14533	60.009	0.125
4	instance_40_2_1.0.txt	1.87667	60.022	53.132
4	instance_80_4_1.0.txt	1.59200	60.094	59.649
4	instance_20_8_1.0.txt	1.14533	60.019	0.008
4	instance_40_8_1.0.txt	1.12533	60.034	8.969
4	instance_10_8_1.0.txt	1.03200	60.006	0.000
4	instance_80_2_1.0.txt	2.47933	60.091	55.908
4	instance_80_8_1.0.txt	1.20200	60.110	56.901
4	instance_160_8_1.0.txt	1.86200	60.329	53.669
4	instance_20_2_1.0.txt	1.49267	60.009	8.101
4	instance_40_4_1.0.txt	1.22600	60.047	25.813
4	instance_160_4_1.0.txt	2.34600	60.488	60.417

5	instance_10_2_1.0.txt	1.12400	60.005	0.049
5	instance_160_2_1.0.txt	4.13267	60.360	49.851
5	instance_10_4_1.0.txt	1.03200	60.014	0.002
5	instance_20_4_1.0.txt	1.14533	60.014	0.146
5	instance_40_2_1.0.txt	1.78333	60.022	12.331
5	instance_80_4_1.0.txt	1.75733	60.096	58.363
5	instance_20_8_1.0.txt	1.14533	60.035	0.073
5	instance_40_8_1.0.txt	1.12533	60.043	11.874
5	instance_10_8_1.0.txt	1.03200	60.012	0.000
5	instance_80_2_1.0.txt	2.83467	60.089	57.307
5	instance_80_8_1.0.txt	1.25800	60.113	50.014
5	instance_160_8_1.0.txt	2.01000	60.299	43.601
5	instance_20_2_1.0.txt	1.49267	60.015	9.544
5	instance_40_4_1.0.txt	1.23800	60.032	25.064
5	instance_160_4_1.0.txt	2.44933	60.286	58.663

