Algorithm: GA
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.005	0.021
1	instance_160_2_1.0.txt	3.68867	60.262	54.909
1	instance_10_4_1.0.txt	1.03200	60.003	0.001
1	instance_20_4_1.0.txt	1.14533	60.008	0.085
1	instance_40_2_1.0.txt	1.75667	60.018	0.898
1	instance_80_4_1.0.txt	1.52867	60.070	22.138
1	instance_20_8_1.0.txt	1.14533	60.013	0.001
1	instance_40_8_1.0.txt	1.12533	60.033	0.852
1	instance_10_8_1.0.txt	1.03200	60.005	0.000
1	instance_80_2_1.0.txt	2.48733	60.066	24.488
1	instance_80_8_1.0.txt	1.18867	60.096	21.094
1	instance_160_8_1.0.txt	1.46533	60.380	58.076
1	instance_20_2_1.0.txt	1.49267	60.006	1.078
1	instance_40_4_1.0.txt	1.22267	60.022	47.598
1	instance_160_4_1.0.txt	2.13400	60.323	56.208

2	instance_10_2_1.0.txt	1.12400	60.002	0.000
2	instance_160_2_1.0.txt	3.55933	60.289	58.085
2	instance_10_4_1.0.txt	1.03200	60.003	0.002
2	instance_20_4_1.0.txt	1.14533	60.008	0.111
2	instance_40_2_1.0.txt	1.86733	60.017	8.234
2	instance_80_4_1.0.txt	1.56533	60.072	21.487
2	instance_20_8_1.0.txt	1.14533	60.011	0.040
2	instance_40_8_1.0.txt	1.12533	60.030	4.047
2	instance_10_8_1.0.txt	1.03200	60.005	0.001
2	instance_80_2_1.0.txt	2.50733	60.061	12.789
2	instance_80_8_1.0.txt	1.18067	60.090	28.584
2	instance_160_8_1.0.txt	1.35333	60.363	58.114
2	instance_20_2_1.0.txt	1.49267	60.005	0.309
2	instance_40_4_1.0.txt	1.22400	60.022	17.909
2	instance_160_4_1.0.txt	2.38133	60.316	58.779

3	instance_10_2_1.0.txt	1.12400	60.002	0.020
3	instance_160_2_1.0.txt	3.67200	60.282	59.990
3	instance_10_4_1.0.txt	1.03200	60.004	0.000
3	instance_20_4_1.0.txt	1.14533	60.008	0.082
3	instance_40_2_1.0.txt	1.77400	60.018	58.160
3	instance_80_4_1.0.txt	1.54400	60.090	15.991
3	instance_20_8_1.0.txt	1.14533	60.013	0.010
3	instance_40_8_1.0.txt	1.12533	60.031	0.852
3	instance_10_8_1.0.txt	1.03200	60.012	0.000
3	instance_80_2_1.0.txt	2.50333	60.109	59.111
3	instance_80_8_1.0.txt	1.18867	60.090	40.726
3	instance_160_8_1.0.txt	1.44333	60.358	55.967
3	instance_20_2_1.0.txt	1.49267	60.005	0.785
3	instance_40_4_1.0.txt	1.23933	60.022	1.675
3	instance_160_4_1.0.txt	2.14867	60.335	53.520

4	instance_10_2_1.0.txt	1.12400	60.003	0.010
4	instance_160_2_1.0.txt	3.75533	60.280	44.465
4	instance_10_4_1.0.txt	1.03200	60.003	0.000
4	instance_20_4_1.0.txt	1.14533	60.008	0.036
4	instance_40_2_1.0.txt	1.75200	60.018	11.794
4	instance_80_4_1.0.txt	1.50000	60.072	56.720
4	instance_20_8_1.0.txt	1.14533	60.012	0.044
4	instance_40_8_1.0.txt	1.12533	60.030	0.647
4	instance_10_8_1.0.txt	1.03200	60.006	0.000
4	instance_80_2_1.0.txt	2.31400	60.061	52.943
4	instance_80_8_1.0.txt	1.17467	60.089	15.980
4	instance_160_8_1.0.txt	1.55867	60.397	58.929
4	instance_20_2_1.0.txt	1.49267	60.005	0.732
4	instance_40_4_1.0.txt	1.22400	60.022	4.663
4	instance_160_4_1.0.txt	2.45533	60.335	57.908

5	instance_10_2_1.0.txt	1.12400	60.003	0.018
5	instance_160_2_1.0.txt	3.66867	60.343	56.480
5	instance_10_4_1.0.txt	1.03200	60.003	0.002
5	instance_20_4_1.0.txt	1.14533	60.008	0.189
5	instance_40_2_1.0.txt	1.75667	60.021	8.754
5	instance_80_4_1.0.txt	1.42933	60.072	54.331
5	instance_20_8_1.0.txt	1.14533	60.013	0.043
5	instance_40_8_1.0.txt	1.12533	60.033	1.591
5	instance_10_8_1.0.txt	1.03200	60.005	0.000
5	instance_80_2_1.0.txt	2.53133	60.061	38.654
5	instance_80_8_1.0.txt	1.17667	60.087	12.665
5	instance_160_8_1.0.txt	1.40600	60.381	57.452
5	instance_20_2_1.0.txt	1.49267	60.006	0.137
5	instance_40_4_1.0.txt	1.22400	60.023	3.623
5	instance_160_4_1.0.txt	2.31400	60.303	58.696

