Algorithm: GRASP
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.005	0.004
1	instance_160_2_1.0.txt	3.31267	61.176	57.899
1	instance_10_4_1.0.txt	1.03200	60.003	0.002
1	instance_20_4_1.0.txt	1.14533	60.018	0.062
1	instance_40_2_1.0.txt	1.83867	60.028	23.616
1	instance_80_4_1.0.txt	1.50733	60.131	26.945
1	instance_20_8_1.0.txt	1.14533	60.019	0.004
1	instance_40_8_1.0.txt	1.12533	60.055	0.179
1	instance_10_8_1.0.txt	1.03200	60.008	0.000
1	instance_80_2_1.0.txt	2.54800	60.094	11.896
1	instance_80_8_1.0.txt	1.15867	60.194	17.960
1	instance_160_8_1.0.txt	1.40933	62.614	59.437
1	instance_20_2_1.0.txt	1.49267	60.010	0.013
1	instance_40_4_1.0.txt	1.22467	60.028	3.474
1	instance_160_4_1.0.txt	2.17333	61.040	60.642

2	instance_10_2_1.0.txt	1.12400	60.004	0.005
2	instance_160_2_1.0.txt	3.75000	60.336	55.951
2	instance_10_4_1.0.txt	1.03200	60.006	0.002
2	instance_20_4_1.0.txt	1.14533	60.014	0.022
2	instance_40_2_1.0.txt	1.81733	60.018	4.742
2	instance_80_4_1.0.txt	1.43067	60.224	1.572
2	instance_20_8_1.0.txt	1.14533	60.014	0.007
2	instance_40_8_1.0.txt	1.12533	60.032	0.212
2	instance_10_8_1.0.txt	1.03200	60.011	0.000
2	instance_80_2_1.0.txt	2.46667	60.078	28.581
2	instance_80_8_1.0.txt	1.17333	60.212	19.202
2	instance_160_8_1.0.txt	1.49467	60.399	43.519
2	instance_20_2_1.0.txt	1.49267	60.017	0.101
2	instance_40_4_1.0.txt	1.22600	60.030	1.706
2	instance_160_4_1.0.txt	2.01333	60.531	46.923

3	instance_10_2_1.0.txt	1.12400	60.003	0.004
3	instance_160_2_1.0.txt	3.38467	60.391	44.695
3	instance_10_4_1.0.txt	1.03200	60.009	0.003
3	instance_20_4_1.0.txt	1.14533	60.014	0.040
3	instance_40_2_1.0.txt	1.74000	60.027	0.303
3	instance_80_4_1.0.txt	1.55467	60.093	16.824
3	instance_20_8_1.0.txt	1.14533	60.015	0.017
3	instance_40_8_1.0.txt	1.12533	60.034	0.300
3	instance_10_8_1.0.txt	1.03200	60.011	0.000
3	instance_80_2_1.0.txt	2.44600	60.101	23.251
3	instance_80_8_1.0.txt	1.20333	60.200	8.340
3	instance_160_8_1.0.txt	1.42667	62.506	62.039
3	instance_20_2_1.0.txt	1.49267	60.011	0.188
3	instance_40_4_1.0.txt	1.25267	60.046	4.840
3	instance_160_4_1.0.txt	2.11533	61.757	56.227

4	instance_10_2_1.0.txt	1.12400	60.004	0.004
4	instance_160_2_1.0.txt	3.18667	60.618	56.119
4	instance_10_4_1.0.txt	1.03200	60.006	0.004
4	instance_20_4_1.0.txt	1.14533	60.011	0.043
4	instance_40_2_1.0.txt	1.78467	60.024	6.375
4	instance_80_4_1.0.txt	1.56333	60.178	27.844
4	instance_20_8_1.0.txt	1.14533	60.014	0.015
4	instance_40_8_1.0.txt	1.12533	60.035	0.275
4	instance_10_8_1.0.txt	1.03200	60.008	0.000
4	instance_80_2_1.0.txt	2.54933	60.067	42.850
4	instance_80_8_1.0.txt	1.19067	60.191	20.891
4	instance_160_8_1.0.txt	1.44533	62.548	62.447
4	instance_20_2_1.0.txt	1.49267	60.009	0.353
4	instance_40_4_1.0.txt	1.23800	60.023	19.159
4	instance_160_4_1.0.txt	2.18267	60.352	60.342

5	instance_10_2_1.0.txt	1.12400	60.003	0.005
5	instance_160_2_1.0.txt	3.21533	60.479	46.651
5	instance_10_4_1.0.txt	1.03200	60.005	0.005
5	instance_20_4_1.0.txt	1.14533	60.014	0.033
5	instance_40_2_1.0.txt	1.90400	60.025	3.509
5	instance_80_4_1.0.txt	1.53933	60.151	7.134
5	instance_20_8_1.0.txt	1.14533	60.017	0.005
5	instance_40_8_1.0.txt	1.12533	60.031	0.531
5	instance_10_8_1.0.txt	1.03200	60.007	0.000
5	instance_80_2_1.0.txt	2.41400	60.074	5.534
5	instance_80_8_1.0.txt	1.15400	60.266	4.791
5	instance_160_8_1.0.txt	1.42733	60.431	56.777
5	instance_20_2_1.0.txt	1.49267	60.009	19.731
5	instance_40_4_1.0.txt	1.22400	60.024	11.902
5	instance_160_4_1.0.txt	1.87067	61.220	48.336

