Algorithm: ILS
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.002	0.003
1	instance_160_2_1.0.txt	3.44000	60.364	56.063
1	instance_10_4_1.0.txt	1.03200	60.003	0.001
1	instance_20_4_1.0.txt	1.14533	60.008	0.040
1	instance_40_2_1.0.txt	1.88333	60.020	21.917
1	instance_80_4_1.0.txt	1.86333	60.081	60.046
1	instance_20_8_1.0.txt	1.14533	60.012	0.021
1	instance_40_8_1.0.txt	1.12533	60.032	0.094
1	instance_10_8_1.0.txt	1.03200	60.005	0.000
1	instance_80_2_1.0.txt	2.45333	60.064	50.098
1	instance_80_8_1.0.txt	1.15867	60.104	12.141
1	instance_160_8_1.0.txt	1.39200	60.544	59.331
1	instance_20_2_1.0.txt	1.49267	60.006	0.040
1	instance_40_4_1.0.txt	1.22467	60.028	1.945
1	instance_160_4_1.0.txt	2.15200	60.425	59.827

2	instance_10_2_1.0.txt	1.12400	60.002	0.004
2	instance_160_2_1.0.txt	3.57667	60.330	57.175
2	instance_10_4_1.0.txt	1.03200	60.003	0.004
2	instance_20_4_1.0.txt	1.14533	60.009	0.084
2	instance_40_2_1.0.txt	1.91533	60.020	0.258
2	instance_80_4_1.0.txt	1.51600	60.085	7.526
2	instance_20_8_1.0.txt	1.14533	60.014	0.020
2	instance_40_8_1.0.txt	1.12533	60.034	0.108
2	instance_10_8_1.0.txt	1.03200	60.005	0.000
2	instance_80_2_1.0.txt	2.42133	60.067	56.227
2	instance_80_8_1.0.txt	1.18867	60.097	36.310
2	instance_160_8_1.0.txt	1.51200	60.513	59.726
2	instance_20_2_1.0.txt	1.55133	60.006	0.016
2	instance_40_4_1.0.txt	1.25867	60.024	59.452
2	instance_160_4_1.0.txt	2.39600	60.366	59.611

3	instance_10_2_1.0.txt	1.12400	60.002	0.004
3	instance_160_2_1.0.txt	3.40467	60.278	60.024
3	instance_10_4_1.0.txt	1.03200	60.003	0.001
3	instance_20_4_1.0.txt	1.14533	60.008	0.037
3	instance_40_2_1.0.txt	1.78467	60.021	0.433
3	instance_80_4_1.0.txt	1.59067	60.082	58.512
3	instance_20_8_1.0.txt	1.14533	60.013	0.004
3	instance_40_8_1.0.txt	1.12533	60.037	2.345
3	instance_10_8_1.0.txt	1.03200	60.005	0.000
3	instance_80_2_1.0.txt	2.33733	60.070	8.284
3	instance_80_8_1.0.txt	1.20467	60.097	17.793
3	instance_160_8_1.0.txt	1.37000	60.473	54.627
3	instance_20_2_1.0.txt	1.49267	60.006	0.063
3	instance_40_4_1.0.txt	1.26400	60.024	14.395
3	instance_160_4_1.0.txt	2.13600	60.363	52.752

4	instance_10_2_1.0.txt	1.12400	60.002	0.005
4	instance_160_2_1.0.txt	3.48533	60.384	56.332
4	instance_10_4_1.0.txt	1.03200	60.003	0.001
4	instance_20_4_1.0.txt	1.14533	60.008	0.041
4	instance_40_2_1.0.txt	1.83467	60.019	17.120
4	instance_80_4_1.0.txt	1.49533	60.079	44.478
4	instance_20_8_1.0.txt	1.14533	60.013	0.008
4	instance_40_8_1.0.txt	1.12533	60.038	0.172
4	instance_10_8_1.0.txt	1.03200	60.005	0.001
4	instance_80_2_1.0.txt	2.42333	60.072	7.090
4	instance_80_8_1.0.txt	1.17333	60.101	14.698
4	instance_160_8_1.0.txt	1.42133	60.383	41.034
4	instance_20_2_1.0.txt	1.49267	60.006	1.601
4	instance_40_4_1.0.txt	1.25467	60.027	0.285
4	instance_160_4_1.0.txt	2.25733	60.372	46.991

5	instance_10_2_1.0.txt	1.12400	60.002	0.004
5	instance_160_2_1.0.txt	3.46333	60.296	57.137
5	instance_10_4_1.0.txt	1.03200	60.003	0.001
5	instance_20_4_1.0.txt	1.14533	60.008	0.019
5	instance_40_2_1.0.txt	1.81400	60.019	0.477
5	instance_80_4_1.0.txt	1.84600	60.082	5.754
5	instance_20_8_1.0.txt	1.14533	60.012	0.004
5	instance_40_8_1.0.txt	1.12533	60.034	0.179
5	instance_10_8_1.0.txt	1.03200	60.005	0.000
5	instance_80_2_1.0.txt	2.29800	60.077	51.735
5	instance_80_8_1.0.txt	1.18867	60.095	10.738
5	instance_160_8_1.0.txt	1.55267	60.359	58.805
5	instance_20_2_1.0.txt	1.49267	60.006	0.144
5	instance_40_4_1.0.txt	1.30067	60.024	0.712
5	instance_160_4_1.0.txt	2.18800	60.411	58.494

