git Algorithm: LNS
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	nrp-g3.txt	-460.00000	93.914	57.848
1	nrp-g2.txt	-279.00000	479.621	101.161
1	nrp-g1.txt	-656.00000	480.108	105.192
1	nrp-e2.txt	-185.00000	292.930	292.930
1	nrp-e3.txt	-560.00000	555.970	119.080
1	nrp-e1.txt	-584.00000	190.357	190.179
1	nrp-e4.txt	-206.00000	161.870	154.127
1	nrp1.txt	-1098.00000	1.117	0.839
1	nrp3.txt	-4539.00000	84.662	83.702
1	nrp2.txt	-3966.00000	15.354	12.714
1	nrp5.txt	-16623.00000	85.605	84.189
1	nrp4.txt	-3672.00000	169.968	0.000

2	nrp-g3.txt	-612.00000	93.750	89.465
2	nrp-g2.txt	-261.00000	100.969	100.756
2	nrp-g1.txt	-482.00000	104.255	97.950
2	nrp-e2.txt	-307.00000	292.545	291.859
2	nrp-e3.txt	-498.00000	119.194	119.003
2	nrp-e1.txt	-406.00000	1127.954	0.000
2	nrp-e4.txt	-235.00000	806.774	153.807
2	nrp1.txt	-1085.00000	1.121	0.728
2	nrp3.txt	-4249.00000	79.870	79.870
2	nrp2.txt	-4021.00000	17.474	17.138
2	nrp5.txt	-13685.00000	28.984	28.928
2	nrp4.txt	-3565.00000	167.234	0.000

3	nrp-g3.txt	-578.00000	93.268	70.260
3	nrp-g2.txt	-243.00000	101.292	101.142
3	nrp-g1.txt	-509.00000	104.674	104.673
3	nrp-e2.txt	-290.00000	291.679	291.479
3	nrp-e3.txt	-546.00000	118.862	118.862
3	nrp-e1.txt	-469.00000	1085.297	190.935
3	nrp-e4.txt	-134.00000	894.680	880.584
3	nrp1.txt	-1114.00000	1.112	1.004
3	nrp3.txt	-4104.00000	86.724	85.793
3	nrp2.txt	-4038.00000	18.128	17.270
3	nrp5.txt	-16448.00000	85.227	83.458
3	nrp4.txt	-4430.00000	908.682	908.682

4	nrp-g3.txt	-613.00000	89.395	89.391
4	nrp-g2.txt	-263.00000	101.119	101.094
4	nrp-g1.txt	-510.00000	104.360	104.147
4	nrp-e2.txt	-287.00000	305.992	292.702
4	nrp-e3.txt	-566.00000	119.406	119.406
4	nrp-e1.txt	-645.00000	1153.869	189.869
4	nrp-e4.txt	-219.00000	154.628	154.628
4	nrp1.txt	-1109.00000	1.117	0.761
4	nrp3.txt	-4237.00000	83.073	79.771
4	nrp2.txt	-3830.00000	16.693	13.163
4	nrp5.txt	-15997.00000	81.372	80.033
4	nrp4.txt	-3422.00000	168.873	168.873

5	nrp-g3.txt	-523.00000	93.552	26.566
5	nrp-g2.txt	-217.00000	100.732	100.655
5	nrp-g1.txt	-629.00000	474.938	103.871
5	nrp-e2.txt	-309.00000	1985.698	293.317
5	nrp-e3.txt	-625.00000	118.395	118.151
5	nrp-e1.txt	-466.00000	190.952	0.000
5	nrp-e4.txt	-103.00000	802.723	0.000
5	nrp1.txt	-1064.00000	1.108	0.743
5	nrp3.txt	-4682.00000	91.818	91.818
5	nrp2.txt	-4051.00000	17.007	16.953
5	nrp5.txt	-16475.00000	85.034	82.689
5	nrp4.txt	-4551.00000	955.454	951.908

6	nrp-g3.txt	-603.00000	89.398	89.202
6	nrp-g2.txt	-221.00000	105.599	100.896
6	nrp-g1.txt	-449.00000	104.679	92.696
6	nrp-e2.txt	-288.00000	2093.271	2069.602
6	nrp-e3.txt	-593.00000	572.634	572.633
6	nrp-e1.txt	-575.00000	189.481	0.000
6	nrp-e4.txt	-201.00000	850.046	153.218
6	nrp1.txt	-1036.00000	1.120	1.014
6	nrp3.txt	-4253.00000	79.289	79.289
6	nrp2.txt	-4182.00000	19.319	19.240
6	nrp5.txt	-15733.00000	83.393	80.888
6	nrp4.txt	-4245.00000	911.325	911.325

7	nrp-g3.txt	-536.00000	89.543	89.543
7	nrp-g2.txt	-224.00000	105.296	100.667
7	nrp-g1.txt	-533.00000	105.326	105.098
7	nrp-e2.txt	-186.00000	291.699	0.000
7	nrp-e3.txt	-527.00000	118.600	118.600
7	nrp-e1.txt	-674.00000	1083.539	190.735
7	nrp-e4.txt	-147.00000	152.910	152.526
7	nrp1.txt	-1145.00000	1.114	0.792
7	nrp3.txt	-4443.00000	85.261	85.261
7	nrp2.txt	-4071.00000	15.430	15.408
7	nrp5.txt	-15999.00000	83.829	82.173
7	nrp4.txt	-4310.00000	890.033	890.033

8	nrp-g3.txt	-636.00000	93.627	89.475
8	nrp-g2.txt	-206.00000	100.484	100.484
8	nrp-g1.txt	-544.00000	104.664	104.416
8	nrp-e2.txt	-235.00000	291.009	290.395
8	nrp-e3.txt	-467.00000	118.825	118.663
8	nrp-e1.txt	-608.00000	1087.898	189.390
8	nrp-e4.txt	-168.00000	807.087	152.860
8	nrp1.txt	-1083.00000	1.120	0.588
8	nrp3.txt	-4470.00000	84.489	84.489
8	nrp2.txt	-3968.00000	15.614	15.480
8	nrp5.txt	-14247.00000	29.413	29.413
8	nrp4.txt	-3694.00000	175.813	168.351

9	nrp-g3.txt	-563.00000	93.723	4.463
9	nrp-g2.txt	-225.00000	99.947	99.856
9	nrp-g1.txt	-612.00000	481.775	481.775
9	nrp-e2.txt	-218.00000	1997.266	308.448
9	nrp-e3.txt	-595.00000	593.470	118.759
9	nrp-e1.txt	-663.00000	190.556	190.556
9	nrp-e4.txt	-257.00000	162.284	154.321
9	nrp1.txt	-1096.00000	1.114	1.096
