Algorithm: PSO
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.002	0.006
1	instance_160_2_1.0.txt	4.06533	60.258	53.941
1	instance_10_4_1.0.txt	1.03200	60.003	0.009
1	instance_20_4_1.0.txt	1.14533	60.007	0.133
1	instance_40_2_1.0.txt	1.82800	60.017	0.733
1	instance_80_4_1.0.txt	1.81667	60.075	56.251
1	instance_20_8_1.0.txt	1.14533	60.011	0.032
1	instance_40_8_1.0.txt	1.12533	60.032	2.107
1	instance_10_8_1.0.txt	1.03200	60.005	0.000
1	instance_80_2_1.0.txt	2.48667	60.060	47.643
1	instance_80_8_1.0.txt	1.22667	60.097	27.489
1	instance_160_8_1.0.txt	1.47867	60.382	59.545
1	instance_20_2_1.0.txt	1.49267	60.006	16.791
1	instance_40_4_1.0.txt	1.22267	60.022	1.546
1	instance_160_4_1.0.txt	2.43600	60.270	50.124

2	instance_10_2_1.0.txt	1.12400	60.002	0.007
2	instance_160_2_1.0.txt	3.80400	60.280	58.857
2	instance_10_4_1.0.txt	1.03200	60.003	0.010
2	instance_20_4_1.0.txt	1.14533	60.008	0.074
2	instance_40_2_1.0.txt	1.79400	60.017	24.389
2	instance_80_4_1.0.txt	1.60600	60.068	55.155
2	instance_20_8_1.0.txt	1.14533	60.012	0.023
2	instance_40_8_1.0.txt	1.12533	60.029	0.510
2	instance_10_8_1.0.txt	1.03200	60.005	0.000
2	instance_80_2_1.0.txt	2.59733	60.059	41.829
2	instance_80_8_1.0.txt	1.24867	60.090	14.424
2	instance_160_8_1.0.txt	1.45133	60.360	52.195
2	instance_20_2_1.0.txt	1.49267	60.005	0.029
2	instance_40_4_1.0.txt	1.22400	60.022	1.041
2	instance_160_4_1.0.txt	2.39000	60.324	55.345

3	instance_10_2_1.0.txt	1.12400	60.002	0.010
3	instance_160_2_1.0.txt	3.53933	60.271	55.436
3	instance_10_4_1.0.txt	1.03200	60.003	0.007
3	instance_20_4_1.0.txt	1.14533	60.008	0.146
3	instance_40_2_1.0.txt	1.75400	60.017	3.370
3	instance_80_4_1.0.txt	1.62667	60.067	13.424
3	instance_20_8_1.0.txt	1.14533	60.011	0.025
3	instance_40_8_1.0.txt	1.12533	60.030	0.972
3	instance_10_8_1.0.txt	1.03200	60.005	0.000
3	instance_80_2_1.0.txt	2.41133	60.060	8.633
3	instance_80_8_1.0.txt	1.18933	60.091	13.041
3	instance_160_8_1.0.txt	1.56800	60.349	56.337
3	instance_20_2_1.0.txt	1.49267	60.006	0.635
3	instance_40_4_1.0.txt	1.34200	60.021	3.105
3	instance_160_4_1.0.txt	2.15067	60.293	44.884

4	instance_10_2_1.0.txt	1.12400	60.002	0.007
4	instance_160_2_1.0.txt	3.48133	60.248	52.076
4	instance_10_4_1.0.txt	1.03200	60.003	0.006
4	instance_20_4_1.0.txt	1.14533	60.014	0.071
4	instance_40_2_1.0.txt	1.82000	60.018	1.243
4	instance_80_4_1.0.txt	1.85800	60.071	38.826
4	instance_20_8_1.0.txt	1.14533	60.011	0.004
4	instance_40_8_1.0.txt	1.12533	60.031	0.825
4	instance_10_8_1.0.txt	1.03200	60.005	0.000
4	instance_80_2_1.0.txt	2.33333	60.060	20.812
4	instance_80_8_1.0.txt	1.19600	60.094	45.361
4	instance_160_8_1.0.txt	1.45933	60.358	57.539
4	instance_20_2_1.0.txt	1.49267	60.006	0.344
4	instance_40_4_1.0.txt	1.27067	60.021	4.322
4	instance_160_4_1.0.txt	2.11267	60.274	59.491

5	instance_10_2_1.0.txt	1.12400	60.002	0.010
5	instance_160_2_1.0.txt	3.58933	60.280	58.296
5	instance_10_4_1.0.txt	1.03200	60.003	0.002
5	instance_20_4_1.0.txt	1.14533	60.007	0.139
5	instance_40_2_1.0.txt	1.98000	60.017	7.057
5	instance_80_4_1.0.txt	1.52333	60.072	59.355
5	instance_20_8_1.0.txt	1.14533	60.011	0.011
5	instance_40_8_1.0.txt	1.12533	60.031	0.849
5	instance_10_8_1.0.txt	1.03200	60.004	0.001
5	instance_80_2_1.0.txt	2.55333	60.062	54.369
5	instance_80_8_1.0.txt	1.24400	60.097	40.578
5	instance_160_8_1.0.txt	1.47533	60.357	55.994
5	instance_20_2_1.0.txt	1.49267	60.006	0.239
5	instance_40_4_1.0.txt	1.25267	60.022	0.499
5	instance_160_4_1.0.txt	2.18933	60.312	60.312

