Algorithm: RKO
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.002	0.004
1	instance_160_2_1.0.txt	3.44200	60.294	60.242
1	instance_10_4_1.0.txt	1.03200	60.003	0.005
1	instance_20_4_1.0.txt	1.14533	60.009	0.052
1	instance_40_2_1.0.txt	1.78467	60.018	48.661
1	instance_80_4_1.0.txt	1.64000	60.086	7.817
1	instance_20_8_1.0.txt	1.14533	60.013	0.017
1	instance_40_8_1.0.txt	1.12533	60.030	0.238
1	instance_10_8_1.0.txt	1.03200	60.007	0.000
1	instance_80_2_1.0.txt	2.23000	60.067	22.487
1	instance_80_8_1.0.txt	1.20267	60.099	56.738
1	instance_160_8_1.0.txt	1.53733	60.345	59.101
1	instance_20_2_1.0.txt	1.49267	60.007	3.991
1	instance_40_4_1.0.txt	1.22800	60.025	5.463
1	instance_160_4_1.0.txt	2.11200	60.316	59.721

2	instance_10_2_1.0.txt	1.12400	60.002	0.003
2	instance_160_2_1.0.txt	3.45133	60.274	60.167
2	instance_10_4_1.0.txt	1.03200	60.003	0.004
2	instance_20_4_1.0.txt	1.14533	60.008	0.288
2	instance_40_2_1.0.txt	1.74000	60.020	11.413
2	instance_80_4_1.0.txt	1.44533	60.078	54.967
2	instance_20_8_1.0.txt	1.14533	60.014	0.017
2	instance_40_8_1.0.txt	1.12533	60.032	0.713
2	instance_10_8_1.0.txt	1.03200	60.005	0.000
2	instance_80_2_1.0.txt	2.54000	60.064	56.070
2	instance_80_8_1.0.txt	1.17000	60.097	35.604
2	instance_160_8_1.0.txt	1.44467	60.375	53.728
2	instance_20_2_1.0.txt	1.49267	60.006	2.420
2	instance_40_4_1.0.txt	1.21467	60.025	52.405
2	instance_160_4_1.0.txt	2.18867	60.277	53.383

3	instance_10_2_1.0.txt	1.12400	60.002	0.003
3	instance_160_2_1.0.txt	3.51333	60.275	49.191
3	instance_10_4_1.0.txt	1.03200	60.003	0.005
3	instance_20_4_1.0.txt	1.14533	60.008	0.080
3	instance_40_2_1.0.txt	1.76067	60.018	43.987
3	instance_80_4_1.0.txt	1.48667	60.079	46.468
3	instance_20_8_1.0.txt	1.14533	60.012	0.003
3	instance_40_8_1.0.txt	1.12533	60.032	0.867
3	instance_10_8_1.0.txt	1.03200	60.005	0.000
3	instance_80_2_1.0.txt	2.30600	60.063	44.688
3	instance_80_8_1.0.txt	1.16733	60.091	24.062
3	instance_160_8_1.0.txt	1.57267	60.369	52.230
3	instance_20_2_1.0.txt	1.49267	60.006	0.128
3	instance_40_4_1.0.txt	1.22267	60.024	9.054
3	instance_160_4_1.0.txt	2.12933	60.325	56.434

4	instance_10_2_1.0.txt	1.12400	60.002	0.004
4	instance_160_2_1.0.txt	3.36867	60.261	59.417
4	instance_10_4_1.0.txt	1.03200	60.003	0.003
4	instance_20_4_1.0.txt	1.14533	60.009	0.157
4	instance_40_2_1.0.txt	1.78467	60.019	39.797
4	instance_80_4_1.0.txt	1.44933	60.086	28.958
4	instance_20_8_1.0.txt	1.14533	60.013	0.004
4	instance_40_8_1.0.txt	1.12533	60.033	1.234
4	instance_10_8_1.0.txt	1.03200	60.005	0.000
4	instance_80_2_1.0.txt	2.47333	60.068	38.476
4	instance_80_8_1.0.txt	1.23600	60.098	37.960
4	instance_160_8_1.0.txt	1.46600	60.352	53.687
4	instance_20_2_1.0.txt	1.49267	60.006	0.033
4	instance_40_4_1.0.txt	1.20067	60.025	17.513
4	instance_160_4_1.0.txt	2.18267	60.338	46.906

5	instance_10_2_1.0.txt	1.12400	60.002	0.006
5	instance_160_2_1.0.txt	3.38267	60.272	54.862
5	instance_10_4_1.0.txt	1.03200	60.004	0.000
5	instance_20_4_1.0.txt	1.14533	60.008	0.044
5	instance_40_2_1.0.txt	1.75133	60.019	8.704
5	instance_80_4_1.0.txt	1.45067	60.078	29.465
5	instance_20_8_1.0.txt	1.14533	60.023	0.026
5	instance_40_8_1.0.txt	1.12533	60.035	0.613
5	instance_10_8_1.0.txt	1.03200	60.006	0.000
5	instance_80_2_1.0.txt	2.22600	60.067	24.508
5	instance_80_8_1.0.txt	1.21933	60.108	28.166
5	instance_160_8_1.0.txt	1.49533	60.393	58.383
5	instance_20_2_1.0.txt	1.49267	60.008	9.182
5	instance_40_4_1.0.txt	1.22400	60.025	1.176
5	instance_160_4_1.0.txt	2.64333	60.357	58.450

