Algorithm: SA
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.002	0.020
1	instance_160_2_1.0.txt	5.20000	60.227	59.888
1	instance_10_4_1.0.txt	1.03200	60.003	0.001
1	instance_20_4_1.0.txt	1.14533	60.007	1.701
1	instance_40_2_1.0.txt	1.74000	60.020	22.284
1	instance_80_4_1.0.txt	1.60667	60.068	47.943
1	instance_20_8_1.0.txt	1.14533	60.011	0.082
1	instance_40_8_1.0.txt	1.12533	60.029	4.323
1	instance_10_8_1.0.txt	1.03200	60.010	0.001
1	instance_80_2_1.0.txt	2.43267	60.062	59.689
1	instance_80_8_1.0.txt	1.26400	60.092	60.071
1	instance_160_8_1.0.txt	2.62200	60.308	59.612
1	instance_20_2_1.0.txt	1.49267	60.006	1.297
1	instance_40_4_1.0.txt	1.20067	60.025	25.190
1	instance_160_4_1.0.txt	4.06267	60.264	59.355

2	instance_10_2_1.0.txt	1.12400	60.002	0.203
2	instance_160_2_1.0.txt	4.90400	60.219	51.435
2	instance_10_4_1.0.txt	1.03200	60.003	0.020
2	instance_20_4_1.0.txt	1.14533	60.007	1.720
2	instance_40_2_1.0.txt	1.74933	60.017	39.985
2	instance_80_4_1.0.txt	1.74800	60.068	41.733
2	instance_20_8_1.0.txt	1.14533	60.011	0.023
2	instance_40_8_1.0.txt	1.12533	60.029	4.280
2	instance_10_8_1.0.txt	1.03200	60.004	0.000
2	instance_80_2_1.0.txt	2.54733	60.060	45.714
2	instance_80_8_1.0.txt	1.28400	60.084	59.439
2	instance_160_8_1.0.txt	2.53400	60.271	56.962
2	instance_20_2_1.0.txt	1.49267	60.005	1.573
2	instance_40_4_1.0.txt	1.22400	60.023	57.557
2	instance_160_4_1.0.txt	4.07533	60.266	54.167

3	instance_10_2_1.0.txt	1.12400	60.002	0.261
3	instance_160_2_1.0.txt	5.72267	60.227	59.759
3	instance_10_4_1.0.txt	1.03200	60.003	0.002
3	instance_20_4_1.0.txt	1.14533	60.008	1.535
3	instance_40_2_1.0.txt	1.74000	60.017	53.286
3	instance_80_4_1.0.txt	1.67133	60.070	17.419
3	instance_20_8_1.0.txt	1.14533	60.011	0.029
3	instance_40_8_1.0.txt	1.12533	60.032	4.018
3	instance_10_8_1.0.txt	1.03200	60.006	0.000
3	instance_80_2_1.0.txt	2.77467	60.062	26.303
3	instance_80_8_1.0.txt	1.28600	60.090	53.476
3	instance_160_8_1.0.txt	2.63800	60.297	60.016
3	instance_20_2_1.0.txt	1.49267	60.006	1.492
3	instance_40_4_1.0.txt	1.21467	60.022	3.965
3	instance_160_4_1.0.txt	3.90133	60.260	58.006

4	instance_10_2_1.0.txt	1.12400	60.002	0.021
4	instance_160_2_1.0.txt	5.47533	60.221	59.787
4	instance_10_4_1.0.txt	1.03200	60.003	0.006
4	instance_20_4_1.0.txt	1.14533	60.007	1.631
4	instance_40_2_1.0.txt	1.74000	60.017	31.658
4	instance_80_4_1.0.txt	1.67600	60.068	58.676
4	instance_20_8_1.0.txt	1.14533	60.011	0.007
4	instance_40_8_1.0.txt	1.12533	60.029	4.310
4	instance_10_8_1.0.txt	1.03200	60.004	0.000
4	instance_80_2_1.0.txt	2.64133	60.059	14.735
4	instance_80_8_1.0.txt	1.27933	60.084	21.771
4	instance_160_8_1.0.txt	2.42267	60.275	59.939
4	instance_20_2_1.0.txt	1.49267	60.005	1.468
4	instance_40_4_1.0.txt	1.22267	60.021	53.530
4	instance_160_4_1.0.txt	3.58400	60.241	58.617

5	instance_10_2_1.0.txt	1.12400	60.002	0.055
5	instance_160_2_1.0.txt	5.18933	60.218	60.030
5	instance_10_4_1.0.txt	1.03200	60.003	0.001
5	instance_20_4_1.0.txt	1.14533	60.008	1.680
5	instance_40_2_1.0.txt	1.75400	60.017	41.213
5	instance_80_4_1.0.txt	1.74867	60.068	46.521
5	instance_20_8_1.0.txt	1.14533	60.011	0.004
5	instance_40_8_1.0.txt	1.12533	60.029	4.361
5	instance_10_8_1.0.txt	1.03200	60.004	0.000
5	instance_80_2_1.0.txt	2.66200	60.059	21.272
5	instance_80_8_1.0.txt	1.25400	60.085	55.304
5	instance_160_8_1.0.txt	2.56400	60.276	57.330
5	instance_20_2_1.0.txt	1.49267	60.006	1.520
5	instance_40_4_1.0.txt	1.22467	60.021	11.940
5	instance_160_4_1.0.txt	3.47600	60.241	59.144

