Algorithm: VNS
============================================================
Replication	Instance	OFV	Total Time	Best Time
1	instance_10_2_1.0.txt	1.12400	60.002	0.000
1	instance_160_2_1.0.txt	3.76667	60.332	59.041
1	instance_10_4_1.0.txt	1.03200	60.003	0.002
1	instance_20_4_1.0.txt	1.14533	60.008	0.016
1	instance_40_2_1.0.txt	1.74000	60.023	0.206
1	instance_80_4_1.0.txt	1.59733	60.078	10.425
1	instance_20_8_1.0.txt	1.14533	60.013	0.001
1	instance_40_8_1.0.txt	1.12533	60.035	0.373
1	instance_10_8_1.0.txt	1.03200	60.005	0.000
1	instance_80_2_1.0.txt	2.46467	60.069	7.499
1	instance_80_8_1.0.txt	1.21933	60.121	4.394
1	instance_160_8_1.0.txt	1.41733	60.507	58.170
1	instance_20_2_1.0.txt	1.49267	60.011	0.193
1	instance_40_4_1.0.txt	1.30133	60.028	0.273
1	instance_160_4_1.0.txt	2.19867	60.371	60.027

2	instance_10_2_1.0.txt	1.12400	60.002	0.003
2	instance_160_2_1.0.txt	3.61267	60.369	60.369
2	instance_10_4_1.0.txt	1.03200	60.003	0.004
2	instance_20_4_1.0.txt	1.14533	60.008	0.023
2	instance_40_2_1.0.txt	1.82000	60.019	0.362
2	instance_80_4_1.0.txt	1.50467	60.084	59.173
2	instance_20_8_1.0.txt	1.14533	60.013	0.003
2	instance_40_8_1.0.txt	1.12533	60.034	2.184
2	instance_10_8_1.0.txt	1.03200	60.005	0.000
2	instance_80_2_1.0.txt	2.41600	60.066	6.677
2	instance_80_8_1.0.txt	1.21067	60.103	30.703
2	instance_160_8_1.0.txt	1.35933	60.553	60.553
2	instance_20_2_1.0.txt	1.49267	60.006	0.519
2	instance_40_4_1.0.txt	1.22400	60.023	11.541
2	instance_160_4_1.0.txt	1.97133	60.540	59.555

3	instance_10_2_1.0.txt	1.12400	60.002	0.000
3	instance_160_2_1.0.txt	3.30067	60.358	39.953
3	instance_10_4_1.0.txt	1.03200	60.003	0.003
3	instance_20_4_1.0.txt	1.14533	60.008	0.013
3	instance_40_2_1.0.txt	1.90400	60.019	34.385
3	instance_80_4_1.0.txt	1.47800	60.091	5.178
3	instance_20_8_1.0.txt	1.14533	60.012	0.015
3	instance_40_8_1.0.txt	1.12533	60.034	0.319
3	instance_10_8_1.0.txt	1.03200	60.005	0.000
3	instance_80_2_1.0.txt	2.35667	60.070	2.556
3	instance_80_8_1.0.txt	1.18667	60.097	57.478
3	instance_160_8_1.0.txt	1.49267	60.407	41.268
3	instance_20_2_1.0.txt	1.49267	60.006	7.842
3	instance_40_4_1.0.txt	1.25267	60.026	4.263
3	instance_160_4_1.0.txt	2.15267	60.320	57.822

4	instance_10_2_1.0.txt	1.12400	60.002	0.003
4	instance_160_2_1.0.txt	3.54800	60.385	59.653
4	instance_10_4_1.0.txt	1.03200	60.003	0.000
4	instance_20_4_1.0.txt	1.14533	60.008	1.088
4	instance_40_2_1.0.txt	1.80000	60.019	3.824
4	instance_80_4_1.0.txt	1.49067	60.097	18.999
4	instance_20_8_1.0.txt	1.14533	60.012	0.004
4	instance_40_8_1.0.txt	1.12533	60.034	0.528
4	instance_10_8_1.0.txt	1.03200	60.005	0.000
4	instance_80_2_1.0.txt	2.50667	60.070	26.464
4	instance_80_8_1.0.txt	1.16467	60.100	38.528
4	instance_160_8_1.0.txt	1.46467	60.453	52.948
4	instance_20_2_1.0.txt	1.49267	60.006	3.640
4	instance_40_4_1.0.txt	1.23533	60.029	3.613
4	instance_160_4_1.0.txt	2.01933	60.429	56.603

5	instance_10_2_1.0.txt	1.12400	60.003	0.004
5	instance_160_2_1.0.txt	3.51000	60.290	59.160
5	instance_10_4_1.0.txt	1.03200	60.003	0.000
5	instance_20_4_1.0.txt	1.14533	60.009	0.017
5	instance_40_2_1.0.txt	1.85133	60.022	33.629
5	instance_80_4_1.0.txt	1.50733	60.082	11.452
5	instance_20_8_1.0.txt	1.14533	60.012	0.001
5	instance_40_8_1.0.txt	1.12533	60.036	0.642
5	instance_10_8_1.0.txt	1.03200	60.005	0.001
5	instance_80_2_1.0.txt	2.23467	60.071	43.420
5	instance_80_8_1.0.txt	1.18067	60.100	19.374
5	instance_160_8_1.0.txt	1.53800	60.437	50.986
5	instance_20_2_1.0.txt	1.49267	60.006	0.125
5	instance_40_4_1.0.txt	1.22467	60.026	2.304
5	instance_160_4_1.0.txt	2.00667	60.370	53.402

